from,to
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C124300
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C124299
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C124297
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113852
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113851
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113846
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113845
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113854
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C113853
http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm,http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C125923
